(costat) Active/Inactive Status Marker,(curcd) ISO Currency Code,(datafmt) Data Format,(indfmt) Industry Format,(consol) Level of Consolidation - Company Annual Descriptor,(tic) Ticker Symbol,(datadate) Data Date,(gvkey) Global Company Key,(conm) Company Name,(cusip) CUSIP,(exchg) Stock Exchange Code,(fyr) Fiscal Year-end Month,(fic) Current ISO Country Code - Incorporation,(act) Current Assets - Total,(at) Assets - Total,(che) Cash and Short-Term Investments,(dlc) Debt in Current Liabilities - Total,(dltt) Long-Term Debt - Total,(lct) Current Liabilities - Total,(lt) Liabilities - Total,"(ppegt) Property, Plant and Equipment - Total (Gross)",(re) Retained Earnings,(rect) Receivables - Total,(seq) Stockholders Equity - Parent,(txp) Income Taxes Payable,(cogs) Cost of Goods Sold,(dp) Depreciation and Amortization,(ebit) Earnings Before Interest and Taxes,(gp) Gross Profit (Loss),(ni) Net Income (Loss),(oiadp) Operating Income After Depreciation,(sale) Sales/Turnover (Net),(txt) Income Taxes - Total,"(xsga) Selling, General and Administrative Expense",(capx) Capital Expenditures,(fincf) Financing Activities - Net Cash Flow,(oancf) Operating Activities - Net Cash Flow,(csho) Common Shares Outstanding,(mkvalt) Market Value - Total - Fiscal,(prcc_f) Price Close - Annual - Fiscal
A,USD,STD,INDL,C,AAPL,30/09/10,001690,APPLE INC,037833100,14,9,USA,41678,75183,25620,0,0,20722,27392,7234,37123,9924,47791,210,38609,932,18385,26616,14013,18385,65225,4527,7299,2005,1257,18595,915.97,259906.4875,283.75
A,USD,STD,INDL,C,AAPL,30/09/11,001690,APPLE INC,037833100,14,9,USA,44988,116371,25952,0,0,27970,39756,11768,63284,11717,76615,1140,62609,1822,33790,45640,25922,33790,108249,8283,10028,4260,1444,37529,929.277,354351.9056,381.32
A,USD,STD,INDL,C,AAPL,30/09/12,001690,APPLE INC,037833100,14,9,USA,57653,176064,29129,0,0,38542,57854,21887,101788,18692,118210,1535,84641,3205,55241,71867,41733,55241,156508,14030,13421,8295,-1698,50856,939.208,626550.3528,667.105
A,USD,STD,INDL,C,AAPL,30/09/13,001690,APPLE INC,037833100,14,9,USA,73286,207000,40546,0,16960,43658,83451,28519,103785,20641,123549,1200,99849,6757,48999,71061,37037,48999,170910,13118,15305,8165,-16379,53666,899.213,428699.7978,476.75
A,USD,STD,INDL,C,AAPL,30/09/14,001690,APPLE INC,037833100,14,9,USA,68531,231839,25077,6308,28987,63448,120292,39015,88234,27219,111547,1209,104312,7946,52503,78483,39510,52503,182795,13973,18034,9571,-37549,59713,5866.161,591015.7208,100.75
A,USD,STD,INDL,C,AAPL,30/09/15,001690,APPLE INC,037833100,14,9,USA,89378,290479,41601,10999,53463,80610,171124,49257,91939,30343,119355,,129589,10500,71230,104126,53394,71230,233715,19121,22396,11247,-17716,81266,5578.753,615336.4559,110.3
A,USD,STD,INDL,C,AAPL,30/09/16,001690,APPLE INC,037833100,14,9,USA,106869,321686,67155,11605,75427,79006,193437,61245,96998,29299,128249,,121576,9800,59476,93515,45687,59476,215091,15685,24239,12734,-20483,65824,5336.166,603253.5663,113.05
A,USD,STD,INDL,C,AAPL,30/09/17,001690,APPLE INC,037833100,14,9,USA,128645,375319,74181,18473,97207,100814,241272,75076,98180,35673,134047,,131648,9400,61344,97586,48351,61344,229234,15738,26842,12451,-17347,63598,5126.201,790050.0981,154.12
A,USD,STD,INDL,C,AAPL,30/09/18,001690,APPLE INC,037833100,14,9,USA,131339,365725,66301,20748,93735,116866,258578,90403,66946,48995,107147,,154456,9300,70662,110903,59531,70662,265359,13372,30941,13313,-87876,77434,4754.986,1073390.54,225.74
A,USD,STD,INDL,C,AAPL,30/09/19,001690,APPLE INC,037833100,14,9,USA,162819,338516,100580,16240,91807,105718,248028,95957,45314,45804,90488,,150482,11300,63930,109692,55256,63930,260174,10481,34462,10495,-90976,69391,4443.236,995151.5669,223.97
A,USD,STD,INDL,C,AAPL,30/09/20,001690,APPLE INC,037833100,14,9,USA,143713,323888,90979,15229,107049,105392,258549,112096,14560,37445,65339,,159859,9700,66288,114656,57411,66288,274515,9680,38668,7309,-86820,80674,16976.763,1966078.923,115.81
A,USD,STD,INDL,C,AAPL,30/09/21,001690,APPLE INC,037833100,14,9,USA,134836,351002,62639,17141,119381,125481,287912,119810,5725,51506,63090,,203481,9500,108949,162336,94680,108949,365817,14527,43887,11085,-93353,104038,16426.786,2324390.219,141.5
A,USD,STD,INDL,C,AAPL,30/09/22,001690,APPLE INC,037833100,14,9,USA,135405,352755,48304,22773,109707,153982,302083,124874,-14177,60932,50672,6552,214846,8700,119437,179482,99803,119437,394328,19300,51345,10708,-110749,122151,15943.425,2203381.335,138.2
A,USD,STD,INDL,C,AAPL,30/09/23,001690,APPLE INC,037833100,14,9,USA,143566,352583,61555,17382,106548,145308,290437,125260,-11666,60985,62146,8819,205637,8500,114301,177648,96995,114301,383285,16741,54847,10959,-108488,110543,15550.061,2662325.944,171.21
A,USD,STD,INDL,C,AAPL,30/09/24,001690,APPLE INC,037833100,14,9,USA,152987,364980,65171,22511,96548,176392,308030,129362,-26326,66243,56950,26601,202152,8200,123216,188883,93736,123216,391035,29749,57467,9447,-121983,118254,15116.786,3522211.138,233
A,USD,STD,INDL,C,AAPL,30/09/25,001690,APPLE INC,037833100,14,9,USA,147957,359241,54697,22446,89931,165631,285508,137053,-19835,72957,73733,13016,212960,8000,133050,203201,112010,133050,416161,20719,62151,12715,-120686,111482,14773.26,3761715.194,254.63
A,USD,STD,INDL,C,AMZN,31/12/10,064768,AMAZON.COM INC,023135106,14,12,USA,13747,18797,8762,224,641,10372,11933,3256,1134,1324,6864,0,26009,657,1407,8195,1152,1407,34204,352,6131,979,181,3495,451,81180,180
A,USD,STD,INDL,C,AMZN,31/12/11,064768,AMAZON.COM INC,023135106,14,12,USA,17490,25278,9576,524,1415,14896,17521,5786,1639,2134,7757,0,36288,1149,867,11789,631,867,48077,291,9773,1811,-482,3903,455,78760.5,173.1
A,USD,STD,INDL,C,AMZN,31/12/12,064768,AMAZON.COM INC,023135106,14,12,USA,21296,32555,11448,1134,3830,19002,24363,9582,1677,2600,8192,0,44271,1863,672,16822,-39,672,61093,428,14287,3785,2259,4180,454,113894.98,250.87
A,USD,STD,INDL,C,AMZN,31/12/13,064768,AMAZON.COM INC,023135106,14,12,USA,24625,40159,12447,1736,5181,22980,30413,14809,2005,3000,9746,0,51681,2668,691,22771,274,691,74452,161,19412,3444,-539,5475,459,183044.61,398.79
A,USD,STD,INDL,C,AMZN,31/12/14,064768,AMAZON.COM INC,023135106,14,12,USA,31327,54505,17416,3600,12489,28089,43764,22730,1438,3300,10741,0,59152,3781,130,29836,-241,130,88988,167,25925,4893,4432,6842,465,144312.75,310.35
A,USD,STD,INDL,C,AMZN,31/12/15,064768,AMAZON.COM INC,023135106,14,12,USA,36474,65444,19808,3364,14183,33899,52060,30053,1822,4400,13384,0,66751,5128,2176,40255,596,2176,107006,950,32951,4589,-3763,11920,471,318344.19,675.89
A,USD,STD,INDL,C,AMZN,31/12/16,064768,AMAZON.COM INC,023135106,14,12,USA,45781,83402,25981,5197,15213,43816,64117,42441,3931,6561,19285,0,81903,6649,4066,54084,2371,4066,135987,1425,43369,6737,-2911,16443,477,357687.99,749.87
A,USD,STD,INDL,C,AMZN,31/12/17,064768,AMAZON.COM INC,023135106,14,12,USA,60197,131310,32315,6221,37926,57883,103601,68573,8152,9692,27709,0,103103,9197,3954,74763,3033,3954,177866,769,61612,11955,9860,18434,484,566023.48,1169.47
A,USD,STD,INDL,C,AMZN,31/12/18,064768,AMAZON.COM INC,023135106,14,12,USA,75101,162648,41668,9502,39787,68391,119099,95770,18590,13310,43549,0,127018,12613,12242,105869,10073,12242,232887,1197,81014,13427,-7686,30723,491,737467.27,1501.97
